Region,Formation,Member,AgeEnd,AgeEarly,Supporting References,Notes,Other age details or opinions,Correlation,Other opinions on correlations
Trinidad and Tobago,Cruse,,4.5,10,"Chen et al 2014, Erlich et al 1993",,"Early Pliocene-Late Miocene (Chen et al 1993). Erlich et al 1993 plot the Cruse as entirely or almost entirely Pliocene. Maurasse 1990 and Erlich et al 1993 put the Cruse below the Forest, but it is difficult to read an exact date for the contact; 4.5 Ma in Maurasse looks reasonable and coincides with the base of the overlying Forest (see this compilation). Maurasse puts the upper part as Pliocene, but the Lower Cruse as the latest Miocene. Babb and Mann 1999 plot the Cruse-Forest boundary at the Mio-Pliocene, with the Cruse extending back to 7-8 Ma, at the UMI-UMII pollen zone boundary (in the middle of N16, ca 10 Ma).",,
Trinidad and Tobago,Brasso,,12.3,20,Erlich et al 1994,Perhaps contains a member called the Machapoorie,,"Herrera mbr of Cipero is deeper water equivalent to the Brasso and Tamana fms (Erlich et al 1993, Johnson 2001). Brasso a deeper or equivalent fascies to the Tamana; conformable contacts laterally and vertically. Tamana has narrower age range than Brasso or Cipero, which extend to an unspecified but older bound (Erlich et al 1993).",
Trinidad and Tobago,Cipero Marl,Undifferentiated,12.3,23,"Stainforth 1948, Erlich et al 1993",Contains reworked Tamana fragments (Erlich et al 1993),,"Herrera mbr of Cipero is deeper water equivalent to the Brasso and Tamana fms (Erlich et al 1993, Johnson 2001).",
Trinidad and Tobago,Cipero Marl,Herrera,12.3,16.4,"Stainforth 1948, Erlich et al 1993",Contains reworked Tamana fragments (Erlich et al 1993),,"Herrera mbr of Cipero is deeper water equivalent to the Brasso and Tamana fms (Erlich et al 1993, Johnson 2001).",
Trinidad and Tobago,Quinam,,12.3,28,Stainforth 1948,,"Lateral equivalent of Cipero Marl (Stainforth 1948). Suggested as lateral equivalent of San Fernado too, but that is Oligocene",,
Trinidad and Tobago,Tamana,,12.3,16,Johnson 2001,,"late Early Miocene or early Middle Miocene (Johnson and Kirby 2006). Zones N8 to N12, 12.3 to 16.4 Ma, as reviewed by Johnson 2001. Entirely within the MIddle Miocene in Maurasse's 1990 plate 5a chart, and not extending entirely to lower bound of the middle Miocene (so younger than 15.97).","Herrera mbr of Cipero is deeper water equivalent to the Brasso and Tamana fms (Erlich et al 1993, Johnson 2001). Brasso a deeper or equivalent fascies to the Tamana; conformable contacts laterally and vertically. Tamana has narrower age range than Brasso or Cipero (Erlich et al 1993).",
Trinidad and Tobago,Cipero Marl,St Croix,16,23,"Stainforth 1948, Van den Bold 1963",,Ste. Croix' lmst quarry is Late Miocene (van den Bold 1963).,,
Venezuela,Tortuga,,0,0.02,"Macsotay and Caceres Hernandez 2005, Padron et al 1993, Maloney and Macsotay 1967","Contains abundant molluscs and barnacles, and on Cubagua island also corals and Strombus (Padron et al 1993). Occurs on Araya Peninsula, Cubagua island, and Margarita island.","Quaternary sediments, although lower boundary could lie in the late Pleistocene, according to Padron et al (1993). Middle Pleistocene according to Macsotay and Caceres Hernandez (2005).",Terraces unconformably overlie the formerly-named Cubagua fm.,
Venezuela,La Eminencia,,0.125,0.7,Macsotay and Caceres Hernandez 2005,,"Macsotay and Caceres Hernandez 2005 propose new Pleistocene zonation and place this unit in the Middle Pleistocene, 700 to 125 ka.",,
Venezuela,Rio Salado,,0.125,0.14,Macsotay 2005,"Contains fossil bivalves, gastropods and plants (Macsotay 2005).","Lower boundary is an unconfirmity, tentatively placed at the onset of molassic cycle V (Macsotay 2005). Top boundary is also an unconfirmity, tentatively correlated with the top of La Eminencia. If the molassic cycles Macsotay references correspond to interglacials in numbering, then the lower bound may occur at 140 ka.",,
Venezuela,Mesa,,0.5,1,"Carbon and Schubert 1994, Hedberg 1950","Two sources of sediment, from opposite dirrections, lead to a complex relationship with surrounding packages.","Carbon and Schubert (1994) dated sands at an average 0.5-1 Ma. Some samples gave ages older than 2 Ma, but that could have been calibration error. ","Overlies the Las Piedras in SE Venezuela. There is controversy over whether this boundary is conformable or not. Carbon and Schubert 1994 review the discussion and decide that there is a hiatus, because the Mesa overlies the Oficina in some parts.",
Venezuela,Cumana,,0.7,1.75,"Macsotay and Caceres Hernandez 2005, Macsotay 1976",,"Macsotay and Caceres Hernandez 2005 propose new Pleistocene zonation and place this unit in the Early Pleistocene, 1750 to 700 ka.",,
Venezuela,El Alto,,0.7,0.75,Macsotay and Caceres Hernandez 2005,Sandy conglomerates in Paraguana Peninsula,Macsotay and Caceres Hernandez 2005 propose new Pleistocene zonation and discuss this unit in sections on both the Early and Middle Pleistocene.,,
Venezuela,Guaracayal,,0.7,1.75,Macsotay 2005,May not contain fossils (none plotted in log),"Macsotay 2005 propose plots this conglomerate as an equivalent unit to the Cumana fm, in the Mariguitar area of Sucre state, Venezuela.",,
Venezuela,Paraguana,Amuay,0.7,1.75,"Macsotay and Caceres Hernandez 2005, Mennessier 1996",,"Macsotay and Caceres Hernandez 2005 propose new Pleistocene zonation and place this unit in the Early Pleistocene, 1750 to 700 ka. Mennessier 1996 referred to the unit as Pliocene, but thought that a stage 5 deposition was probable.",,
Venezuela,Playa Grande,,0.7,1.75,"Macsotay and Caceres Hernandez 2005, Jung 1989",,"Macsotay and Caceres Hernandez 2005 propose new Pleistocene zonation and place this unit in the Early Pleistocene, 1750 to 700 ka.",,
Venezuela,Sabilar,,0.7,1.75,Macsotay 2005,May not contain fossils (none plotted in log),"Macsotay 2005 propose plots this conglomerate as an equivalent unit to the Cumana fm, both in the Cumana area of Sucre state, Venezuela.",,
Venezuela,Güiria,,0.78,2.58,Macsotay 2005,Synonymous with Paria,,,
Venezuela,Abisinia,,0.8,2.6,Weisbord 1962,,"Weisbord gave the age as Pleistocene, using molluscs and a U-Th age of 300 ka. ",Deposited after the Mare fm,
Venezuela,Caigüire,,1.75,2.7,Macsotay 2005,,"Macsotay 2005 reviews chronologic evidence related to the unit, which places it as latest Pliocene to Early Pleistocene. Upper boundary is an unconformity below the Cumana, so minimum age must be older than the maximum for that unit. The Lower boundary is tentatively placed at the transition from Lopha messor to Nodipecten arnoldi molluscan zones. Unfortunately, those mollusc zones are not clearly dated elsewhere in the literature, so an approximate age of 2.7 Ma is used in this compilation. This date agrees with the cessation of the major uplift of the Andes according to Adriessen et al 1994.",,
Venezuela,Chiguana,,1.75,2.58,Macsotay 2005,"Fossils are concentrated in upper beds, especiallyt he Las Varas mbr. ",Age is Early Pleistocene (Macsotay 2005),"Hypersaline embayment, isolated by sediments that form the subadjacent, non-fossiliferous Coche fm. Correlates with Paria fm and upper Caiguire fm.",
Venezuela,Paria,,1.75,2.58,Macsotay 2005,Outcrops in Irapaguiria area and Northern Paria Gulf. Many invertebrate fauna.,"Early Pliocene, although the lower bound is uncertain (Macsotay 2005). Alternatively, Pleistocene, along with Mesa fm in Venezuela (Flinch et al 1999).",,
Venezuela,Araya,,2.3,3.6,Macsotay et al 1995; Jung 1989,"Contains abundant molluscs, including 1m thick oyster beds (Padron et al 1993). The Araya fm is the current name for the Cerro Negro mbr of the Cubagua fm of Vignali (1965).",,Overlies La Guica fm,
Venezuela,Cubagua,Cerro Negro,2.3,3.6,Padron et al 1993,"Contains abundant molluscs, including 1m thick oyster beds (Padron et al 1993). Macsotay et al 1995 split the Cubagua fm into the La Guica and Araya fms. The former Cerro Negro mbr of Cubagua is now the La Guica fm.","Early Pliocene on Cubagua and Margarita islands according to Padron et al 1993. Log charts do not agree for the age range of the unit on the Araya peninsula, however. The detailed log (fig 3) indicates that the unit ranges from the lower Late Pliocene into early Pleistocene, but the idealized log (fig 6) suggests Early Pliocene through early Pleistocene. The text does not resolve this inconsistency. Castro and Mederos 1997 placed Padron's Cabagua island section in the G miocenica zone, which is later than the Padron et al characterisation as a Gr margaritae zone. (It is consistent with Padron et al zonation on Araya Peninsula, however.) Landau et al 2008 review the changes to Neogene stage divisions (Rio et al 1998, Gradstein et al 2004) and foram zone dates (Berggren et al 1995). In light of these updates and using the Castro and Mederos 1997 zonation, Padron's section on Cubagua island has an estimated range that includes the enitre Piacenzian and lower Gelasian, 3.58 to 2.3 Ma.",Underlies Araya fm,
Venezuela,Las Piedras,,2.58,5.5,"Hedberg 1950, di Croce et al 1999",,"Pliocene according to Hedberg 1950. Base is sequence boundary 3.10, at 5.5 Ma according to di Croce et al (1999). Babb and Mann agree with a lower bound at ca 5.2 Ma, but plot the unit in simplified section up to the base of the Mesa, mid Pleistocene (1 Ma according to this compilation).",Deltaic to shallow marine sediments that are the transition between the alluvial conglomerate Quiamare below and the alluvial-deltaic Mesa above.,
Venezuela,Cumacatal,,2.6,3.6,Macsotay 2005,,Late Pliocene (Macsotay 2005). Lower bound occurs at the onset of molassic cycle IV.,El Pilar Cumacatal River and Northern Paria Gulf sections proposed as equivalents to the Frontado fm (Macsotay 2005).,
Venezuela,Frontado,,2.6,3.6,Macsotay 2005,"Described by Macsotay and Caraballo 1976. Outcrops at Muelle de Cariaco, Sucre state, Venezuela.",Late Pliocene (Macsotay 2005). Lower bound occurs at the onset of molassic cycle IV.,Top boundary is a questionable unconformity. Proposed equivalency to the Cumacatal fm (at least the El Pilar Cumacatal River and Northern Paria Gulf sections).,
Venezuela,Cubagua,Undifferentiated,3,5.6,Padron et al 1993; Landau et al 2008; Jung 1989; Aguilera and de Aguilera 2001,Cubagua and Margarita islands. Macsotay et al (1995) split the Cubagua fm into the La Guica and Araya fms.,Upper Late Miocene to lower Early Pliocene (Padron et al 1993). See ages for constituent units.,,
Venezuela,Codore,,3.2,4,Smith et al 2010,"Three members: El Jebe, Chiguaje, and Algodones, in ascension. Only the Chiguaje is marine (Smith et al 2010). Outcrops in Falcon Basin.","The Urumaco-Codore boundary occurs at ca 6 Ma (Chrons C3A-C3), but the Chiguaje bounds are at ca 4.0 and 3.2 (Smith et al 2010). New samples and a review of previous work places the Chiguaje as Upper Miocene to middle Pliocene (Smith et al 2010).",,
Venezuela,La Vela,,3.2,5.7,"Diaz de Gamero 1997, Montero-Serrano et al 2010","Outcrops in Coro-La Vela, West Falcon Basin.","Late Pliocene in stratigraphic chart but not discussed in text (Montero-Serrano et al 2010). In a chart based on Wozniak and Wozniak 1987, Smith et al 2010 generally agree, placing the bounds at ca. 3.2 and 5.7 Ma (i.e. lower bound slightly below the Mio-Pliocene boundary).",Overlies Caujarao fm and underlies the Coro fm. Correlates with most of the Tiguaje fm and the upper part of the Bariro fm below that (both are part of the La Puerta grp).,
Venezuela,Cubagua,Cerro Verde,3.6,5.6,"Padron et al 1993, Aguilera and de Aguilera 2001",,"Late Miocene: Upper G acostaensis zone, entire G humerosa zone, and lower G margaritae-miocenica zone (Pedro et al 1993). And, on Margarita island, later than the La Teijita fm, which is also Late Miocene by the same work. Berggren et al 1995 gave an age of 6.6 and 6.2 for FAD and LAD of G acostaensis, respectively. Thus, the lower boundary must be at least as old as 6.2 Ma, but not older than 6.6 Ma. The upper boundary is conformable with the overlying Araya fm, where the contact is observable (Araya Peninsula) according to Pedro et al (1993). Of forams observed in the fm, the species with the earliest FAD is G margaritae (5.6 Ma) according to Aguilera and de Aguilera (2001), who use a median age of 4.2 Ma for the fm based on microfossils.","Overlies the La Teijita fm, but there is a hiatus between them (Padron et al 1993)",
Venezuela,La Güica,,3.6,6.4,"Padron et al 1993, Macsotay et al 1995, Macsotay and Vivas 1998","La Guica fm is the current name for the lower unit of the former Cubagua fm, thus presumably equivalent to the Cerro Verde member.",,,
Venezuela,Mare,,3.6,5.3,"Jung 1989, Herbert 2004",,Early to middle Pliocene (Herbert 2004).,,
Venezuela,Punta Gavilán ,,3.6,5.3,Herbert 2004,,Early to middle Pliocene (Herbert 2004).,,
Venezuela,La Rosa,,5.3,11.6,Rull 2001,,"The sediments were deposited during a Late Miocene transgression, and when the depositional regime changed to a regression, the shifted environment (coastal plain instead of shallow marine) is recorded as the Lagunillas fm (Rull 2001). The timing of regression is unclear, except that it began in the Early Miocene and continued into the Middle Miocene.",,
Venezuela,La Pica,,5.5,10.5,Di Croce et al 1999,,"Sequence boundaries at top and bottom of the unit are 3.10 and 3.7, dated at 5.5 and 10.5 Ma (di Croce et al 1999).",,
Venezuela,Caujarao,Undifferentiated,5.7,10.6,"Diaz de Gamero 1997, Montero-Serrano et al 2010","Includes El Muaco, Mataruca, and Taratara mbrs, in ascending order. Outcrops in Falcon Basin.","Late Miocene (ca. 5.3 to 11.2 Ma), when sedimentation changed from transgressive to regressive (Montero-Serrano et al 2010). See the age constraints for each individual member.","Overlies Socorro fm. Largely equivalent with the lateral Caujarao fm, and with the upper part of the Quisiro and lower part of the Bariro fms of La Puerta grp.",
